"team","Capital.City","Latitude","Longitude","Population","Capital.Type","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","team_num"
"POLAND","Warszawa (Warsaw)",52.2298,21.0118,1767798,"Capital",31.75,12,0.75,7.75,1.25,0.75,0,0.25,1.75,3.5,6.25,1.5,9,3,3.25,4.25,9.75,388.25,99.5,153.75,135,7.5,143.25,82.25,14.75,6.75,1.75,0,12,12.5,0.25,353,282.25,13,4.75,4.75,2.75,13.5,0.25,18,0,67.5,338.5,2,25.25,42.25,1.5
"PORTUGAL","Lisboa (Lisbon)",38.7169,-9.1399,2927316,"Capital",54.2,11,2.4,12.4,1.2,2.2,0.2,1.6,5,4.8,6.4,6,19.8,7,6,6.8,12.2,729.6,161.6,255.8,312.2,14.2,175.6,120,19.4,12.6,1.2,0,11.2,13.8,2.6,595.4,523,20.4,5.4,9.8,5.6,14.8,0.4,10.2,0,60.6,253.4,3.6,22.2,33.4,1.4
"QATAR","Ad-Dawhah (Doha)",25.2747,51.5245,633401,"Capital",40.6666666666667,8.66666666666667,0.333333333333333,7,2.33333333333333,0.333333333333333,0,0.333333333333333,2,4.66666666666667,2.66666666666667,4.33333333333333,10.6666666666667,4,3.33333333333333,3.33333333333333,8.66666666666667,535,108.333333333333,226.333333333333,200.333333333333,8.33333333333333,157,103.333333333333,12.3333333333333,7,2.33333333333333,0,10.3333333333333,15.3333333333333,2.33333333333333,444.333333333333,376,14.3333333333333,4.33333333333333,10.3333333333333,3,19.3333333333333,0,10.6666666666667,0,57,295.333333333333,2.66666666666667,17.3333333333333,27.3333333333333,1.33333333333333
"SAUDI ARABIA","Ar-Riyadh (Riyadh)",24.6905,46.7096,6906595,"Capital",36.6666666666667,14.3333333333333,1,9.66666666666667,1.66666666666667,1,0,0.666666666666667,3,5.66666666666667,6,3.66666666666667,9.66666666666667,3.66666666666667,4,4.33333333333333,11.3333333333333,422,108.333333333333,185.666666666667,128,12.3333333333333,173.333333333333,102.333333333333,19.6666666666667,10.3333333333333,4.66666666666667,0,18.6666666666667,14.3333333333333,1,374.666666666667,293.666666666667,14,2.66666666666667,7,2.66666666666667,18.6666666666667,0,16.3333333333333,0,71.6666666666667,267.666666666667,2.66666666666667,25.3333333333333,51,1.66666666666667
"SENEGAL","Dakar",14.6937,-17.4441,2978419,"Capital",39.75,12.25,1.25,12.75,1.75,1.25,0,0.5,3.5,7,8,4.75,15,2.25,2.5,4.75,12.5,453,107.5,182,163.5,11.5,161.75,93,19,10.75,1.75,0,12,14.75,2,389,319,18,5.25,7.75,5.5,15.75,0.25,9,0,66.5,269.25,3,21.5,34.25,1.75
"SERBIA","Beograd (Belgrade)",44.8176,20.4633,1389351,"Capital",42.6666666666667,13.3333333333333,1.66666666666667,10.3333333333333,2.66666666666667,1.33333333333333,0.333333333333333,1.33333333333333,3.33333333333333,5.66666666666667,7.33333333333333,3,15.6666666666667,4.33333333333333,8,4,9.66666666666667,524.666666666667,94.3333333333333,220,210.333333333333,7.33333333333333,160.333333333333,102.666666666667,15.6666666666667,7.66666666666667,4,0,14.3333333333333,9.33333333333333,1.33333333333333,464,388,19.6666666666667,4.33333333333333,6,3,10,0,17,0,75.3333333333333,282.666666666667,4.33333333333333,27.3333333333333,35,1.66666666666667
"SPAIN","Madrid",40.4165,-3.7026,6497124,"Capital",69,9.5,2.25,12.75,0.75,2.25,0,1.5,4,5.25,7.75,5,27,6.5,6,9.25,17,938,156.5,313.25,468.25,20.75,217.75,169.25,27.75,18.75,0.5,0,10.25,11.75,2.75,954.75,881.75,18.25,2.5,8.5,5.25,16.25,0.25,5.75,0,60,206.75,3,18.25,43.75,1.5
"SWITZERLAND","Bern",46.9481,7.4474,422153,"Capital",43,10.75,1.25,9,2.25,1.25,0,1,2.75,3.75,5.75,3.25,14.5,3.5,6,3.75,11.5,562.5,126,225.25,211.25,8.75,168.75,106.25,18.75,8,2.25,0,13,12.5,1.5,475,403.25,16.75,3.5,4.5,5,14.25,0,10.25,0,70,287.5,3.5,19.25,34.25,1.75
"TUNISIA","Tunis",36.819,10.1658,2290777,"Capital",37.6666666666667,15,0.333333333333333,9.66666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,2.66666666666667,4.66666666666667,5.66666666666667,4,10.6666666666667,4.33333333333333,4.33333333333333,3,9,522.666666666667,118,223.333333333333,181.333333333333,9.66666666666667,175.666666666667,96.6666666666667,20.3333333333333,8,1.66666666666667,0,13.3333333333333,10,2.33333333333333,405.333333333333,321.333333333333,21,4,3.66666666666667,7,11,0,10.3333333333333,0,74,301.333333333333,0.666666666666667,19,37,1.33333333333333
"UNITED STATES","Washington, D.C.",38.8951,-77.0364,5206593,"Capital",47.5,11.25,0.75,11.5,1,0.75,0,0.75,3.75,4.75,7.25,4.25,12.5,5,4,6,12.75,695.25,147.5,299,248.75,13,178.5,123.25,23.25,13.25,1.25,0,11.25,10.5,1.25,508.25,444.25,24,2.5,5,5.5,11.5,0,8.5,0,73.25,287.5,1.75,19.5,43.25,1.75
"URUGUAY","Montevideo",-34.8335,-56.1674,1736989,"Capital",41,13.3333333333333,0.666666666666667,10.6666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,3.33333333333333,5.66666666666667,6.66666666666667,4,11,4.66666666666667,7,4.66666666666667,13.3333333333333,467.666666666667,129.666666666667,155.666666666667,182.333333333333,8,160.666666666667,99.3333333333333,19,10.6666666666667,2.66666666666667,0,11.3333333333333,12.6666666666667,1,454.666666666667,375.333333333333,16.3333333333333,4.33333333333333,6,2.66666666666667,14.3333333333333,0,9.66666666666667,0,76.6666666666667,298.333333333333,1.33333333333333,20.3333333333333,32.6666666666667,1.66666666666667
"WALES","Cardiff",51.481583,-3.17909,372089,"Capital",41,12,0.333333333333333,8,2,0.333333333333333,0,0,2.33333333333333,3.33333333333333,3.66666666666667,4.33333333333333,10.6666666666667,2,5,4.33333333333333,8,515.333333333333,102,198.666666666667,214.666666666667,7.66666666666667,162,95.6666666666667,12.6666666666667,5.66666666666667,1.66666666666667,0.333333333333333,11.6666666666667,11.3333333333333,1.33333333333333,414,331.666666666667,13,4,7.33333333333333,2,12.3333333333333,0.333333333333333,15,0,70,260.333333333333,2.33333333333333,22.6666666666667,32.6666666666667,1.33333333333333
