"team","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","outcome","team_num","result"
"GERMANY",33,11,1,10,1,1,0,1,4,5,7,3,3,3,4,3,8,440,108,177,155,9,143,83,17,7,3,0,11,13,5,352,281,13,1,2,5,15,0,7,0,101,387,2,17,36,0,2,"0"
"GERMANY",60,13,4,32,2,4,0,4,11,17,24,8,29,13,13,12,15,747,217,272,258,28,193,159,34,25,0,0,9,3,3,727,661,38,12,5,14,7,0,8,0,77,230,6,40,47,2,2,"1"
"SPAIN",74,9,7,17,0,7,0,4,7,8,12,5,30,4,8,6,12,1085,180,418,487,23,276,233,34,22,0,0,8,12,3,1061,1003,17,2,8,5,18,1,0,0,46,185,7,17,45,1,1,"1"
"SPAIN",56,11,1,7,1,1,0,1,3,4,3,4,12,3,2,1,5,633,90,270,273,16,186,146,19,13,1,0,13,11,2,647,565,9,2,9,6,16,0,11,0,79,275,2,17,36,0,1,"0"
"SPAIN",78,8,1,14,2,1,0,1,5,3,7,7,30,9,6,11,22,1138,174,286,678,17,190,140,21,15,0,0,6,9,2,1070,992,20,2,9,2,11,0,6,0,49,150,3,20,35,1,2,"2"
"SPAIN",68,10,0,13,0,0,0,0,1,6,9,4,36,10,8,19,29,896,182,279,435,27,219,158,37,25,1,0,14,15,4,1041,967,27,4,8,8,20,0,6,0,66,217,0,19,59,0,2,"0"
"BELGIUM",46,11,1,9,0,1,0,1,3,6,6,3,6,3,5,2,6,618,115,268,235,8,175,118,13,6,3,0,11,14,0,512,439,8,5,4,4,15,0,21,0,74,284,1,30,36,1,1,"1"
"BELGIUM",56,12,0,10,2,0,0,0,4,6,5,5,12,8,3,4,9,732,144,211,377,4,149,104,13,3,1,0,10,14,3,671,598,19,3,6,9,17,0,11,0,38,194,2,21,24,2,1,"2"
"BELGIUM",47,10,0,15,0,0,0,0,4,7,12,3,18,5,7,4,9,581,123,181,277,12,177,115,26,14,1,0,9,7,0,596,531,24,8,4,4,11,0,11,0,68,346,0,26,49,0,2,"0"
"SWITZERLAND",43,11,1,8,0,1,0,1,3,4,6,2,19,2,11,6,16,609,153,256,200,13,178,123,21,13,2,0,12,10,2,497,437,28,6,4,11,11,0,7,0,64,313,1,15,37,1,1,"1"
